promt,Class
"Ворота на парковке открываются с трудом, их нужно смазать","Благоустройство, ЖКХ и уборка дорог"
"На придомовой территории свалены ветки от обрезки деревьев","Благоустройство, ЖКХ и уборка дорог"
"Кто занимается удалением граффити на стенах домов?","Благоустройство, ЖКХ и уборка дорог"
"В подъезде из двери торчат провода, это опасно","Благоустройство, ЖКХ и уборка дорог"
"Тротуар возле остановки сильно разрушен, куда сообщить?","Благоустройство, ЖКХ и уборка дорог"
"На пешеходной зоне паркуются машины, что делать?","Благоустройство, ЖКХ и уборка дорог"
"Рядом с домом откопали яму и не закопали обратно","Благоустройство, ЖКХ и уборка дорог"
"На лестнице в подъезде отсутствует перила","Благоустройство, ЖКХ и уборка дорог"
"Не убраны листья с детской площадки, дети могут поскользнуться","Благоустройство, ЖКХ и уборка дорог"
"Вода из ливневки течёт прямо на тротуар","Благоустройство, ЖКХ и уборка дорог"
"Во дворе застряли мусорные контейнеры, их не вывозят","Благоустройство, ЖКХ и уборка дорог"
"Как подать заявку на установку дорожного зеркала на перекрёстке?","Благоустройство, ЖКХ и уборка дорог"
"На остановке сломана урна для мусора","Благоустройство, ЖКХ и уборка дорог"
"Люк в центре двора накрыт только картонкой, это опасно","Благоустройство, ЖКХ и уборка дорог"
"Из-за повреждённого колодца на улице течёт вода","Благоустройство, ЖКХ и уборка дорог"
"На улице появился стихийный рынок, создаёт помехи","Благоустройство, ЖКХ и уборка дорог"
"Во дворе часто собираются стаи бродячих собак, что делать?","Благоустройство, ЖКХ и уборка дорог"
"Рядом с домом упала рекламная конструкция","Благоустройство, ЖКХ и уборка дорог"
"Во дворе слишком шумят коммунальные машины ночью","Благоустройство, ЖКХ и уборка дорог"
"На стене дома разросся плющ, он разрушает штукатурку","Благоустройство, ЖКХ и уборка дорог"
"Уборка снега с крыши производится слишком редко","Благоустройство, ЖКХ и уборка дорог"
"На углу улицы провалился люк, как его восстановить?","Благоустройство, ЖКХ и уборка дорог"
"Вдоль дороги не убран строительный мусор после ремонта","Благоустройство, ЖКХ и уборка дорог"
"Во дворе установили мусорный бак слишком близко к подъезду","Благоустройство, ЖКХ и уборка дорог"
"Фонтан в парке перестал работать, кто за него отвечает?","Благоустройство, ЖКХ и уборка дорог"
"На аллее сломали фонарь, темно и небезопасно","Благоустройство, ЖКХ и уборка дорог"
"Во дворе скопилась вода после дождя, нет стока","Благоустройство, ЖКХ и уборка дорог"
"На газоне остались куски металла после ремонта водопровода","Благоустройство, ЖКХ и уборка дорог"
"Дорожное покрытие во дворе сильно просело, кому сообщить?","Благоустройство, ЖКХ и уборка дорог"
"Не работает система полива газонов в парке","Благоустройство, ЖКХ и уборка дорог"
"Кто может заделать дыру в заборе детской площадки?","Благоустройство, ЖКХ и уборка дорог"
"На дороге появились стихийные палатки, мешающие движению","Благоустройство, ЖКХ и уборка дорог"
"Табличка с названием улицы упала, как её вернуть на место?","Благоустройство, ЖКХ и уборка дорог"
"На детской площадке сорвали сетку с футбольных ворот","Благоустройство, ЖКХ и уборка дорог"
"Скамейка в парке сильно покосилась, кто её починит?","Благоустройство, ЖКХ и уборка дорог"
"Как найти контакты ближайшего нотариуса?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Где найти телефон круглосуточной аптеки?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как узнать номер телефона ближайшей ветеринарной клиники?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Есть ли в районе Петроградка спортивные секции для детей?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Подскажите, как связаться с управляющей компанией дома на улице Мира?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Где найти телефон ближайшей стоматологической клиники?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как позвонить в детскую поликлинику №5?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Есть ли в центре города службы по ремонту бытовой техники?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как узнать номер телефона районного ЗАГСа?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Ищу контакты общественной организации по защите прав потребителей","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как связаться с паспортным столом в Калининском районе?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Где найти телефон отделения ГИБДД в Красногвардейском районе?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Какие нотариусы работают по выходным?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как найти номер телефона ближайшего фитнес-клуба?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Куда обратиться для вызова сантехника в Московском районе?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как узнать контактный номер ближайшей станции скорой помощи?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Ищу контакты всех частных детских садов в районе Васильевский остров","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Где находятся ближайшие автомойки?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как связаться с главным врачом поликлиники №12?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Подскажите телефон горячей линии ЖКХ для Центрального района","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Где узнать контакты всех школ района Приморский?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Какой телефон у ближайшего кафе с доставкой еды?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Куда позвонить для записи на курсы английского языка?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как найти контакты ближайшего банкомата Сбербанка?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Где взять телефон агентства по продаже недвижимости?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как позвонить в службу такси без приложения?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Подскажите телефон сервисного центра Samsung в Адмиралтейском районе","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Где найти номера частных репетиторов по математике?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как найти контактный номер бесплатной юридической консультации?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Ищу телефон ближайшей ветеринарной аптеки","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Где находится ближайшая парковка с почасовой оплатой?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как узнать номер телефона участкового в районе Купчино?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Ищу контакты ближайшего цветочного магазина","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Где найти телефон горячей линии детского телефона доверия?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как позвонить в ближайшую автозаправочную станцию?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Подскажите телефон службы утилизации старой мебели","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Где находятся ближайшие курсы подготовки к ЕГЭ?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как узнать номер справочной службы трамвайного парка?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Есть ли в Невском районе спортивные клубы с бассейном?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как найти ближайший пункт выдачи интернет-заказов?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Куда обратиться для ремонта бытовой техники в Кировском районе?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Где находятся ближайшие магазины с круглосуточной работой?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как позвонить в справочную службу общественного транспорта?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Где узнать контакты ближайшего бюро переводов?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Куда обратиться для аренды коммерческой недвижимости?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Где находится ближайшая школа танцев для взрослых?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как позвонить в ближайший хостел?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Подскажите телефон химчистки возле площади Ленина","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как найти ближайшую мастерскую по ремонту обуви?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Где находится ближайший шиномонтаж?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как узнать телефон ближайшего магазина электроники?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Куда обратиться за консультацией по миграционным вопросам?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Где находится ближайший центр вакцинации?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как узнать телефон салона красоты с вечерним графиком работы?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Где найти контакты компаний по аренде автомобилей?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как позвонить в ближайший пункт выдачи интернет-магазина Ozon?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Где найти ближайший центр тестирования на COVID-19?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как узнать номер телефона ЖКХ на улице Тельмана?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Где найти ближайший спортивный клуб с тренажёрным залом?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как найти ближайший магазин автозапчастей?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Где находится ближайшая студия йоги?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Куда обратиться для записи на курсы вождения?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как позвонить в бюро ритуальных услуг?","Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как найти номер телефона аварийной службы для воды?", "Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Ищу контактную информацию компании по ремонту труб в Санкт-Петербурге", "Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Нужен телефон службы по вывозу мусора в моем районе", "Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как позвонить в службу уборки снега на улице?", "Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Где можно найти телефон аварийной службы по газу?", "Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Ищу контактную информацию по ремонту лифтов в доме", "Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как найти номер телефона службы по устранению заторов в канализации?", "Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Где найти контактный номер для восстановления мусоропровода?", "Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Ищу номер телефона для вызова сантехника на дом", "Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как найти номер телефона компании по ремонту подъездов?", "Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Где найти телефон для вызова специалиста по уборке территории?", "Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как узнать номер телефона аварийной службы для ремонта кровли?", "Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как позвонить в компанию по ремонту дорог в Санкт-Петербурге?", "Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Нужен номер телефона для ремонта парка", "Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Где можно найти контакты для замены окон в жилом доме?", "Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как найти телефон организации по вывозу строительного мусора?", "Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как позвонить в организацию, занимающуюся уборкой снега с дорог?", "Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Ищу телефон службы по очистке улиц от мусора", "Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Как позвонить в организацию по очистке канализации?", "Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Ищу номер телефона по ремонту асфальтового покрытия в районе", "Поиск контактов, основанный на Базе Контактов Санкт-Петербурга"
"Какие документы нужны для записи в детский сад?", "Образование, Детские сады и Школы"
"Как записать ребенка в первый класс школы?", "Образование, Детские сады и Школы"
"Где можно узнать расписание уроков в средней школе?", "Образование, Детские сады и Школы"
"Как получить справку о посещении детского сада?", "Образование, Детские сады и Школы"
"Какие кружки и секции есть в нашей школе?", "Образование, Детские сады и Школы"
"Какой возраст для поступления в детский сад?", "Образование, Детские сады и Школы"
"Когда начинается набор в школу для первоклассников?", "Образование, Детские сады и Школы"
"Где найти контактные данные для записи в музыкальную школу?", "Образование, Детские сады и Школы"
"Какие школы в Санкт-Петербурге предлагают углубленное изучение математики?", "Образование, Детские сады и Школы"
"Где можно узнать о мероприятиях в школах района?", "Образование, Детские сады и Школы"
"Как записать ребенка в кружок робототехники при школе?", "Образование, Детские сады и Школы"
"Где узнать информацию о дополнительных занятиях по английскому в школе?", "Образование, Детские сады и Школы"
"Как узнать, есть ли места в детском саду в нашем районе?", "Образование, Детские сады и Школы"
"Когда проводится день открытых дверей в нашей школе?", "Образование, Детские сады и Школы"
"Как записать ребенка в летний лагерь при школе?", "Образование, Детские сады и Школы"
"Где найти информацию о продленке в школе?", "Образование, Детские сады и Школы"
"Какие школы предлагают обучение на английском языке?", "Образование, Детские сады и Школы"
"Как получить информацию о факультативных занятиях в школе?", "Образование, Детские сады и Школы"
"Какие программы для детей с особенностями развития предлагает школа?", "Образование, Детские сады и Школы"
"Когда начинается учебный год в детском саду?", "Образование, Детские сады и Школы"
"Какие школы специализируются на подготовке к олимпиадам по математике?", "Образование, Детские сады и Школы"
"Как узнать, есть ли школы с углубленным изучением иностранных языков?", "Образование, Детские сады и Школы"
"Где узнать, как оформить льготы для поступления в школу?", "Образование, Детские сады и Школы"
"Как найти школу с инклюзивным обучением?", "Образование, Детские сады и Школы"
"Когда проходят вступительные экзамены в частные школы?", "Образование, Детские сады и Школы"
"Где можно записаться на подготовительные курсы в школу?", "Образование, Детские сады и Школы"
"Как узнать, когда будет проведен экзамен для поступления в лицей?", "Образование, Детские сады и Школы"
"Как оформить перевод ребенка в другую школу?", "Образование, Детские сады и Школы"
"Где найти информацию о летних лагерях для школьников?", "Образование, Детские сады и Школы"
"Как узнать, есть ли вакантные места в частном детском саду?", "Образование, Детские сады и Школы"
"Где можно записать ребенка в кружок по шахматам при школе?", "Образование, Детские сады и Школы"
"Как узнать, есть ли в школе спортивная секция по футболу?", "Образование, Детские сады и Школы"
"Как записать ребенка в школу с углубленным изучением физики?", "Образование, Детские сады и Школы"
"Где можно узнать информацию о школьных экзаменах в 9 классе?", "Образование, Детские сады и Школы"
"Как записать ребенка в школу искусств?", "Образование, Детские сады и Школы"
"Какие требования для поступления в школу с уклоном в биологию?", "Образование, Детские сады и Школы"
"Когда в школе будут проходить родительские собрания?", "Образование, Детские сады и Школы"
"Как записать ребенка в художественную школу?", "Образование, Детские сады и Школы"
"Какие школы в Санкт-Петербурге проводят курсы по подготовке к ЕГЭ?", "Образование, Детские сады и Школы"
"Как получить информацию о школьных каникулах?", "Образование, Детские сады и Школы"
"Какие условия поступления в школу с углубленным изучением химии?", "Образование, Детские сады и Школы"
"Где можно найти учебные пособия для подготовки к школе?", "Образование, Детские сады и Школы"
"Как записаться на курс подготовки к ЕГЭ по математике?", "Образование, Детские сады и Школы"
"Какие школы предлагают дистанционное обучение?", "Образование, Детские сады и Школы"
"Когда начинается набор в художественные школы в Санкт-Петербурге?", "Образование, Детские сады и Школы"
"Какие школы предлагают курсы по программированию для детей?", "Образование, Детские сады и Школы"
"Где найти информацию о конкурсах для школьников?", "Образование, Детские сады и Школы"
"Как найти школу с программой для детей с нарушениями слуха?", "Образование, Детские сады и Школы"
"Как записать ребенка на курс английского языка для малышей?", "Образование, Детские сады и Школы"
"Где узнать, как попасть в гимназию с углубленным изучением истории?", "Образование, Детские сады и Школы"
"Как узнать расписание занятий в спортивной школе?", "Образование, Детские сады и Школы"
"Где найти информацию о школьных экскурсиях?", "Образование, Детские сады и Школы"
"Как поступить в школу с математическим уклоном?", "Образование, Детские сады и Школы"
"Как записать ребенка в группу продленного дня в школе?", "Образование, Детские сады и Школы"
"Где найти информацию о курсах для школьников по подготовке к олимпиадам?", "Образование, Детские сады и Школы"
"Как подать заявку на место в частный детский сад?", "Образование, Детские сады и Школы"
"Как записать ребенка в спортивную секцию по волейболу при школе?", "Образование, Детские сады и Школы"
"Где найти информацию о летнем лагере при нашей школе?", "Образование, Детские сады и Школы"
"Когда начинается обучение в первом классе?", "Образование, Детские сады и Школы"
"Какие школы предлагают обучение на французском языке?", "Образование, Детские сады и Школы"
"Как узнать, есть ли в школе кружок для юных математиков?", "Образование, Детские сады и Школы"
"Как оформить место для ребенка в частной школе?", "Образование, Детские сады и Школы"
"Как записать ребенка на курсы подготовки к ОГЭ?", "Образование, Детские сады и Школы"
"Как получить консультацию по обучению ребенка с особыми потребностями?", "Образование, Детские сады и Школы"
"Где можно узнать о кружках по театральному искусству для школьников?", "Образование, Детские сады и Школы"
"Как получить информацию о экзаменах в 11 классе?", "Образование, Детские сады и Школы"
"Какие школы предлагают углубленное изучение иностранных языков?", "Образование, Детские сады и Школы"
"Как записать ребенка в кружок по математике при школьном центре?", "Образование, Детские сады и Школы"
"Где найти информацию о группах для детей с нарушением слуха?", "Образование, Детские сады и Школы"
"Как устроить ребенка в летнюю школу для изучения английского?", "Образование, Детские сады и Школы"
"Где можно получить информацию о школьных курсах по астрономии?", "Образование, Детские сады и Школы"
"Как записать ребенка в класс с углубленным изучением биологии?", "Образование, Детские сады и Школы"
"Когда будут проходить курсы подготовки к экзаменам для выпускников?", "Образование, Детские сады и Школы"
"Где найти информацию о школе, специализирующейся на художественном воспитании?", "Образование, Детские сады и Школы"
"Как узнать, есть ли в школе класс с углубленным изучением экономики?", "Образование, Детские сады и Школы"
"Когда в школе будут проходить занятия по плаванию?", "Образование, Детские сады и Школы"
"Как записать ребенка на занятия по шахматам в школе?", "Образование, Детские сады и Школы"
"Какие школы в Санкт-Петербурге предлагают профильное обучение по химии?", "Образование, Детские сады и Школы"
"Где найти информацию о том, как перевести ребенка в частную школу?", "Образование, Детские сады и Школы"
"Какие школы проводят курсы подготовки к олимпиадам по информатике?", "Образование, Детские сады и Школы"
"Как записать ребенка на курсы повышения квалификации для школьников?", "Образование, Детские сады и Школы"
"Как записаться на дополнительные занятия по химии для старшеклассников?", "Образование, Детские сады и Школы"
"Как получить консультацию по подготовке к вступительным экзаменам в вуз?", "Образование, Детские сады и Школы"
"Какие школы предлагают обучение с уклоном на технические науки?", "Образование, Детские сады и Школы"
"Как получить информацию о курсах для подготовки к ЕГЭ по биологии?", "Образование, Детские сады и Школы"
"Где найти информацию о летних образовательных программах для детей?", "Образование, Детские сады и Школы"
"Какие школы предлагают углубленное изучение русского языка?", "Образование, Детские сады и Школы"
"Где можно записаться на курсы по подготовке к ОГЭ по математике?", "Образование, Детские сады и Школы"
"Какие школы предлагают курсы по программированию для школьников?", "Образование, Детские сады и Школы"
"Когда начинаются курсы для поступающих в 10 класс?", "Образование, Детские сады и Школы"
"Как записать ребенка в школу с углубленным изучением английского языка?", "Образование, Детские сады и Школы"
"Как оформить льготы при поступлении в школу?", "Образование, Детские сады и Школы"
"Где найти информацию о секциях по спортивным танцам при школе?", "Образование, Детские сады и Школы"
"Как получить информацию о дополнительных занятиях по биологии в школе?", "Образование, Детские сады и Школы"
"Какие школы предлагают курсы по подготовке к олимпиадам по литературе?", "Образование, Детские сады и Школы"
"Как записать ребенка на курсы подготовки к экзаменам по химии?", "Образование, Детские сады и Школы"
"Какие школы проводят занятия по фотографии для детей?", "Образование, Детские сады и Школы"
"Где можно узнать, есть ли в школе клуб по интересам?", "Образование, Детские сады и Школы"
"Какие школы предлагают курсы для подготовки к ОГЭ по истории?", "Образование, Детские сады и Школы"
"Как узнать, есть ли в школе курс для углубленного изучения физики?", "Образование, Детские сады и Школы"

